price,quantity,created_at
426707.0,0.01,2019-03-03 14:00:09.628465
426637.14,0.3998479,2019-03-03 14:00:09.628465
426608.02,0.17971338,2019-03-03 14:00:09.628465
426603.001,0.2,2019-03-03 14:00:09.628465
426602.36,0.2,2019-03-03 14:00:09.628465
426594.22,0.125,2019-03-03 14:00:09.628465
426593.011,0.5,2019-03-03 14:00:09.628465
426593.00101,1.0,2019-03-03 14:00:09.628465
426591.0,0.05,2019-03-03 14:00:09.628465
426582.02,0.008,2019-03-03 14:00:09.628465
426581.0,0.01,2019-03-03 14:00:09.628465
426577.0,0.50000013,2019-03-03 14:00:09.628465
426567.83,0.002,2019-03-03 14:00:09.628465
426530.0,1.00000013,2019-03-03 14:00:09.628465
426509.021,0.016,2019-03-03 14:00:09.628465
426507.32245,0.06,2019-03-03 14:00:09.628465
426498.0,0.01,2019-03-03 14:00:09.628465
426469.23999,0.05,2019-03-03 14:00:09.628465
426469.23,0.05,2019-03-03 14:00:09.628465
426457.0,2.01000013,2019-03-03 14:00:09.628465
426455.00101,0.05,2019-03-03 14:00:09.628465
426678.92,0.00025602,2019-03-03 14:00:10.787352
426646.001,0.1,2019-03-03 14:00:10.787352
426638.01,0.5,2019-03-03 14:00:10.787352
426638.0,0.50000013,2019-03-03 14:00:10.787352
426637.15,0.002,2019-03-03 14:00:10.787352
426603.011,0.004,2019-03-03 14:00:10.787352
426603.001,0.2,2019-03-03 14:00:10.787352
426598.03,0.7634,2019-03-03 14:00:10.787352
426595.0,1.00000013,2019-03-03 14:00:10.787352
426594.22,0.125,2019-03-03 14:00:10.787352
426594.00101,0.21759413,2019-03-03 14:00:10.787352
426591.0,0.05,2019-03-03 14:00:10.787352
426582.0,0.05,2019-03-03 14:00:10.787352
426581.0,0.50999,2019-03-03 14:00:10.787352
426576.29,0.11055,2019-03-03 14:00:10.787352
426538.33,0.08003,2019-03-03 14:00:10.787352
426535.0,0.01,2019-03-03 14:00:10.787352
426527.0,2.00000013,2019-03-03 14:00:10.787352
426498.0,0.01,2019-03-03 14:00:10.787352
426474.29,0.012,2019-03-03 14:00:10.787352
426469.24999,0.26,2019-03-03 14:00:10.787352
426697.39,0.2313479,2019-03-03 14:00:11.963290
426678.92,0.00025602,2019-03-03 14:00:11.963290
426646.011,0.502,2019-03-03 14:00:11.963290
426646.001,0.2,2019-03-03 14:00:11.963290
426639.0,0.50000013,2019-03-03 14:00:11.963290
426638.01,0.004,2019-03-03 14:00:11.963290
426609.7,0.11123,2019-03-03 14:00:11.963290
426601.54,0.05,2019-03-03 14:00:11.963290
426600.0,0.02,2019-03-03 14:00:11.963290
426595.01,0.7625,2019-03-03 14:00:11.963290
426594.00101,0.21759413,2019-03-03 14:00:11.963290
426591.0,0.05,2019-03-03 14:00:11.963290
426585.34429,0.06,2019-03-03 14:00:11.963290
426582.0,1.05000013,2019-03-03 14:00:11.963290
426581.0,0.50999,2019-03-03 14:00:11.963290
426543.0,2.00000013,2019-03-03 14:00:11.963290
426538.33,0.08003,2019-03-03 14:00:11.963290
426535.0,0.01,2019-03-03 14:00:11.963290
