price,quantity,created_at
426707.78,1.951,2019-03-03 14:00:09.628465
426715.073,0.062,2019-03-03 14:00:09.628465
426724.0,0.21759413,2019-03-03 14:00:09.628465
426732.999,0.02,2019-03-03 14:00:09.628465
426739.0,0.05,2019-03-03 14:00:09.628465
426745.24,0.125,2019-03-03 14:00:09.628465
426751.0,0.3,2019-03-03 14:00:09.628465
426755.999,0.05,2019-03-03 14:00:09.628465
426771.93,0.16005,2019-03-03 14:00:09.628465
426780.71963,0.002,2019-03-03 14:00:09.628465
426780.989,0.05,2019-03-03 14:00:09.628465
426780.999,0.05,2019-03-03 14:00:09.628465
426787.0,0.05,2019-03-03 14:00:09.628465
426793.33,0.10867,2019-03-03 14:00:09.628465
426800.0,0.05,2019-03-03 14:00:09.628465
426802.53,0.3202866,2019-03-03 14:00:09.628465
426810.0,0.029,2019-03-03 14:00:09.628465
426818.0,0.05,2019-03-03 14:00:09.628465
426826.98,0.004,2019-03-03 14:00:09.628465
426826.99,0.05,2019-03-03 14:00:09.628465
426830.0,0.05,2019-03-03 14:00:09.628465
426701.53,0.01,2019-03-03 14:00:10.787352
426706.99995,4.41448106,2019-03-03 14:00:10.787352
426707.0,0.198085,2019-03-03 14:00:10.787352
426707.78,1.9,2019-03-03 14:00:10.787352
426715.073,0.062,2019-03-03 14:00:10.787352
426724.0,0.21759413,2019-03-03 14:00:10.787352
426732.999,0.02,2019-03-03 14:00:10.787352
426739.0,0.05,2019-03-03 14:00:10.787352
426745.24,0.125,2019-03-03 14:00:10.787352
426751.0,0.3,2019-03-03 14:00:10.787352
426755.999,0.05,2019-03-03 14:00:10.787352
426757.2,0.11177,2019-03-03 14:00:10.787352
426778.92,0.3202866,2019-03-03 14:00:10.787352
426780.71963,0.002,2019-03-03 14:00:10.787352
426780.989,0.05,2019-03-03 14:00:10.787352
426780.999,0.05,2019-03-03 14:00:10.787352
426787.0,0.05,2019-03-03 14:00:10.787352
426800.0,0.05,2019-03-03 14:00:10.787352
426803.99,0.05,2019-03-03 14:00:10.787352
426809.99,0.004,2019-03-03 14:00:10.787352
426810.0,0.029,2019-03-03 14:00:10.787352
